rangeType, point1X, point1Y, point2X, point2Y, distance, total, floorNone, floorWater, floorMagma, blockL1, blockL2, blockL3, blockL4
rect, 21, 3, 37, 14, 0,204,6,31,0,122,41,4,0
rect, 21, -16, 37, -6, 0,187,6,28,0,112,37,4,0
rect, -35, 15, -24, 25, 0,132,5,0,13,59,26,13,7
rect, -49, -17, -40, -11, 0,70,0,0,8,42,10,8,1
rect, -49, -9, -42, 6, 0,128,3,0,13,38,19,13,42
rect, -49, 7, -42, 24, 0,144,4,0,17,36,29,29,29
rect, -41, 26, -15, 29, 0,108,5,0,5,0,5,5,86
rect, -33, 30, -26, 36, 0,56,2,0,3,6,8,26,11
rect, -43, 34, -36, 39, 0,48,2,0,2,2,5,14,22
rect, -49, 42, -43, 49, 0,56,0,0,8,8,8,20,11
rect, -32, -35, -24, -21, 0,135,9,0,14,27,68,14,4
rect, -45, -28, -36, -21, 0,80,2,0,10,12,32,16,8
rect, -43, -35, -38, -31, 0,30,2,0,6,2,3,9,9
rect, -38, -48, -27, -39, 0,120,2,6,18,12,12,36,34
rect, -49, -49, -40, -39, 0,110,0,6,14,11,11,30,38
rect, 31, -21, 35, -17, 0,25,1,1,0,11,8,4,0
rect, 23, -41, 27, -19, 0,111,3,9,13,41,28,14,2
rect, 29, -46, 40, -39, 0,96,0,10,19,10,19,24,14
rect, 39, -18, 46, -13, 0,48,1,5,0,7,13,14,7
distance, 35, -28, 0, 0, 4,41,1,0,3,4,18,12,2
rect, 42, -32, 45, -19, 0,56,2,6,0,4,6,22,17
rect, 36, -37, 44, -34, 0,36,1,2,0,5,7,16,5
rect, 47, -40, 49, -37, 0,12,0,0,0,1,3,5,2
rect, 46, -48, 49, -41, 0,32,2,2,0,0,3,13,13
rect, 42, -10, 49, 6, 0,136,4,3,20,0,27,41,41
rect, 39, 7, 49, 12, 0,66,0,13,0,3,7,20,23
rect, 24, 18, 33, 27, 0,100,3,7,0,20,30,30,10
rect, 20, 31, 28, 49, 0,171,5,0,3,0,9,86,68
rect, 29, 31, 34, 35, 0,30,0,0,0,3,3,12,12
rect, 36, 16, 49, 19, 0,56,2,1,6,11,11,8,6
distance, 45, 26, 0, 0, 3,25,1,0,0,2,5,8,9
rect, 35, 26, 45, 33, 0,78,0,0,16,8,8,23,23
rect, 29, 36, 34, 41, 0,36,3,0,0,1,4,18,11
rect, 35, 36, 41, 41, 0,42,2,0,0,2,4,19,15
rect, 42, 36, 49, 41, 0,48,0,5,0,2,7,17,17
rect, 29, 42, 34, 47, 0,36,2,0,0,2,7,11,14
rect, 35, 42, 41, 47, 0,42,0,0,0,2,8,13,19
rect, 42, 42, 45, 47, 0,24,1,0,0,1,5,7,10
rect, 46, 46, 49, 49, 0,16,0,0,0,0,0,6,10
rect, -50, -50, -50, 50, 0,101,0,0,0,0,0,0,101
rect, -49, -50, 49, -50, 0,99,0,0,0,0,0,0,99
rect, 50, -50, 50, 50, 0,101,0,0,0,0,0,0,101
rect, -49, 50, 49, 50, 0,99,0,0,0,0,0,0,99
distance, 0, 0, 0, 0, 8,145,0,0,0,145,0,0,0
distance, 0, 0, 0, 0, 10,76,2,0,0,74,0,0,0
distance, 0, 0, 0, 0, 15,184,4,0,0,162,18,0,0
distance, 0, 0, 0, 0, 20,105,2,0,0,92,9,1,0
distance, 0, 0, 0, 0, 25,115,1,1,0,99,12,2,0
distance, 0, 0, 0, 0, 30,116,1,0,1,93,16,3,1
distance, 0, 0, 0, 0, 50,1085,0,0,54,542,271,174,76
distance, 0, 0, 0, 0, 60,1063,0,0,53,532,266,170,74
distance, 0, 0, 0, 0, 70,1736,0,0,87,868,434,278,122
distance, 0, 0, 0, 0, 80,2354,0,0,118,1177,588,377,165
distance, 0, 0, 0, 0, 90,3051,0,0,153,1526,763,488,214
distance, 0, 0, 0, 0, 100,3631,0,0,182,1816,908,581,254
